start_hour_str,dow_str,start_station_name,city,avg_duration,number_of_trips
Mid Day,Sunday,Powell at Post (Union Square),San Francisco,65.1,232
Early Afternoon,Sunday,Embarcadero at Bryant,San Francisco,30.6,231
Evening,Saturday,Embarcadero at Sansome,San Francisco,24.3,231
Mid Day,Sunday,Embarcadero at Bryant,San Francisco,36.8,226
Mid Day,Friday,Market at 4th,San Francisco,53.8,225
Mid Day,Wednesday,Embarcadero at Sansome,San Francisco,57.5,223
Early Afternoon,Sunday,Market at 4th,San Francisco,54.5,221
Early Afternoon,Friday,Embarcadero at Vallejo,San Francisco,47.3,219
Mid Morning,Sunday,Harry Bridges Plaza (Ferry Building),San Francisco,58.0,215
Early Afternoon,Sunday,Powell Street BART,San Francisco,44.7,212
Afternoon,Monday,Harry Bridges Plaza (Ferry Building),San Francisco,28.2,208
Afternoon,Thursday,Harry Bridges Plaza (Ferry Building),San Francisco,43.1,208
Afternoon,Saturday,Embarcadero at Vallejo,San Francisco,35.7,205
Mid Day,Sunday,Market at Sansome,San Francisco,52.6,203
Mid Day,Sunday,San Francisco Caltrain (Townsend at 4th),San Francisco,46.5,201
Afternoon,Tuesday,Harry Bridges Plaza (Ferry Building),San Francisco,45.1,198
Afternoon,Wednesday,Harry Bridges Plaza (Ferry Building),San Francisco,38.4,196
Mid Day,Friday,Embarcadero at Vallejo,San Francisco,56.4,196
Early Afternoon,Saturday,Market at Sansome,San Francisco,61.1,195
Mid Day,Sunday,Steuart at Market,San Francisco,56.3,194
Mid Day,Friday,Powell Street BART,San Francisco,62.6,194
Mid Day,Saturday,Market at 10th,San Francisco,40.8,193
Early Afternoon,Saturday,San Francisco Caltrain (Townsend at 4th),San Francisco,32.6,191
Mid Day,Saturday,Grant Avenue at Columbus Avenue,San Francisco,55.0,191
Early Afternoon,Saturday,Powell at Post (Union Square),San Francisco,53.3,187
Mid Day,Sunday,2nd at Townsend,San Francisco,36.0,186
Early Afternoon,Sunday,Powell at Post (Union Square),San Francisco,46.7,183
Early Afternoon,Saturday,Market at 10th,San Francisco,42.0,179
Early Afternoon,Friday,Market at 4th,San Francisco,31.3,178
Mid Morning,Saturday,Powell at Post (Union Square),San Francisco,58.4,177
Early Afternoon,Sunday,Market at Sansome,San Francisco,69.8,176
Mid Day,Saturday,Civic Center BART (7th at Market),San Francisco,62.2,176
Early Afternoon,Monday,Market at 4th,San Francisco,39.2,173
Mid Morning,Saturday,Market at 4th,San Francisco,37.6,173
Early Afternoon,Wednesday,Embarcadero at Vallejo,San Francisco,35.5,170
Mid Day,Thursday,Market at 4th,San Francisco,74.7,168
Early Afternoon,Monday,Embarcadero at Vallejo,San Francisco,35.0,167
Afternoon,Saturday,Market at 4th,San Francisco,40.9,167
Mid Day,Sunday,Grant Avenue at Columbus Avenue,San Francisco,60.7,166
Mid Day,Monday,Market at 4th,San Francisco,46.9,166
Afternoon,Sunday,Market at 4th,San Francisco,34.1,164
Mid Day,Sunday,Civic Center BART (7th at Market),San Francisco,58.0,164
Morning,Thursday,San Francisco Caltrain (Townsend at 4th),San Francisco,18.1,163
Early Afternoon,Thursday,Embarcadero at Vallejo,San Francisco,33.6,161
Evening,Sunday,Embarcadero at Sansome,San Francisco,22.2,159
Early Afternoon,Friday,Market at Sansome,San Francisco,48.8,159
Mid Day,Thursday,Powell Street BART,San Francisco,77.6,158
Early Afternoon,Saturday,Yerba Buena Center of the Arts (3rd @ Howard),San Francisco,37.2,155
Early Afternoon,Sunday,Grant Avenue at Columbus Avenue,San Francisco,27.4,154
Early Afternoon,Thursday,Market at 4th,San Francisco,43.8,154
Early Afternoon,Tuesday,Market at 4th,San Francisco,31.8,153
Afternoon,Saturday,Grant Avenue at Columbus Avenue,San Francisco,31.4,153
Mid Day,Thursday,Embarcadero at Vallejo,San Francisco,47.7,152
Mid Day,Saturday,Beale at Market,San Francisco,122.0,152
Mid Day,Monday,Powell Street BART,San Francisco,52.9,151
Mid Day,Friday,2nd at Townsend,San Francisco,37.2,151
Morning,Tuesday,San Francisco Caltrain (Townsend at 4th),San Francisco,23.8,148
Afternoon,Friday,San Francisco Caltrain (Townsend at 4th),San Francisco,29.3,147
Early Afternoon,Saturday,2nd at South Park,San Francisco,35.1,147
Early Afternoon,Wednesday,2nd at Townsend,San Francisco,21.4,146
Mid Morning,Friday,Harry Bridges Plaza (Ferry Building),San Francisco,47.2,146
Afternoon,Tuesday,San Francisco Caltrain (Townsend at 4th),San Francisco,23.5,145
Afternoon,Thursday,Market at 4th,San Francisco,25.2,145
Mid Day,Friday,Market at Sansome,San Francisco,39.3,145
Morning,Friday,San Francisco Caltrain (Townsend at 4th),San Francisco,14.1,145
Mid Day,Thursday,Market at Sansome,San Francisco,64.7,144
Early Afternoon,Thursday,2nd at Townsend,San Francisco,28.1,143
Early Afternoon,Sunday,South Van Ness at Market,San Francisco,30.9,141
Early Afternoon,Saturday,Washington at Kearny,San Francisco,56.3,141
Afternoon,Thursday,San Francisco Caltrain (Townsend at 4th),San Francisco,21.0,140
Mid Day,Saturday,Mechanics Plaza (Market at Battery),San Francisco,82.5,140
Mid Day,Sunday,Yerba Buena Center of the Arts (3rd @ Howard),San Francisco,50.9,139
Early Afternoon,Wednesday,Market at 4th,San Francisco,58.3,139
Afternoon,Friday,Market at 4th,San Francisco,20.4,139
Mid Day,Saturday,Yerba Buena Center of the Arts (3rd @ Howard),San Francisco,57.0,139
Early Afternoon,Tuesday,Embarcadero at Vallejo,San Francisco,43.7,138
Morning,Wednesday,San Francisco Caltrain (Townsend at 4th),San Francisco,13.1,138
Mid Day,Thursday,Market at 10th,San Francisco,31.2,138
Afternoon,Saturday,Powell Street BART,San Francisco,34.8,138
Early Afternoon,Thursday,Steuart at Market,San Francisco,28.0,137
Early Afternoon,Friday,Powell Street BART,San Francisco,102.8,137
Mid Day,Sunday,Market at 10th,San Francisco,74.1,136
Mid Day,Wednesday,Market at 4th,San Francisco,44.0,136
Early Afternoon,Thursday,Powell at Post (Union Square),San Francisco,36.9,136
Mid Day,Friday,Market at 10th,San Francisco,74.6,136
Early Afternoon,Friday,Steuart at Market,San Francisco,30.6,136
Afternoon,Saturday,Embarcadero at Bryant,San Francisco,42.2,136
Early Afternoon,Thursday,Market at Sansome,San Francisco,34.3,135
Early Afternoon,Sunday,San Francisco Caltrain (Townsend at 4th),San Francisco,39.4,134
Early Afternoon,Monday,Powell Street BART,San Francisco,46.0,134
Mid Day,Tuesday,Powell Street BART,San Francisco,59.9,134
Mid Day,Wednesday,Powell Street BART,San Francisco,43.4,134
Mid Morning,Sunday,Powell Street BART,San Francisco,75.8,132
Early Afternoon,Friday,2nd at Townsend,San Francisco,38.4,132
Mid Day,Saturday,Clay at Battery,San Francisco,31.4,132
Afternoon,Wednesday,San Francisco Caltrain (Townsend at 4th),San Francisco,17.2,131
Early Afternoon,Saturday,Embarcadero at Folsom,San Francisco,62.4,131
Afternoon,Sunday,Powell Street BART,San Francisco,29.8,129
Early Afternoon,Sunday,Civic Center BART (7th at Market),San Francisco,56.8,129
Mid Day,Sunday,Mechanics Plaza (Market at Battery),San Francisco,70.2,129
Evening,Friday,2nd at Townsend,San Francisco,21.2,129
Mid Morning,Saturday,Powell Street BART,San Francisco,52.8,129
Mid Day,Friday,Steuart at Market,San Francisco,57.7,128
Early Afternoon,Saturday,Beale at Market,San Francisco,60.3,128
Afternoon,Saturday,Steuart at Market,San Francisco,31.8,128
Mid Day,Saturday,South Van Ness at Market,San Francisco,36.3,128
Mid Morning,Sunday,Market at 4th,San Francisco,73.9,127
Afternoon,Tuesday,Powell Street BART,San Francisco,25.2,127
Evening,Friday,Embarcadero at Sansome,San Francisco,27.0,127
Early Afternoon,Saturday,Mechanics Plaza (Market at Battery),San Francisco,59.2,127
Mid Day,Sunday,Embarcadero at Folsom,San Francisco,30.2,126
Mid Day,Sunday,San Francisco City Hall,San Francisco,94.8,126
Early Afternoon,Sunday,Market at 10th,San Francisco,76.6,126
Afternoon,Monday,Market at 4th,San Francisco,20.8,126
Mid Day,Thursday,2nd at Townsend,San Francisco,28.7,126
Afternoon,Sunday,Embarcadero at Vallejo,San Francisco,28.1,125
Mid Day,Tuesday,Powell at Post (Union Square),San Francisco,70.3,125
Afternoon,Tuesday,Market at 4th,San Francisco,21.8,124
Mid Day,Wednesday,Embarcadero at Vallejo,San Francisco,57.6,123
Early Afternoon,Thursday,Powell Street BART,San Francisco,40.4,123
Afternoon,Saturday,2nd at Townsend,San Francisco,26.9,123
Mid Day,Tuesday,Market at 4th,San Francisco,44.3,122
Afternoon,Friday,Powell at Post (Union Square),San Francisco,25.2,122
Early Afternoon,Sunday,Yerba Buena Center of the Arts (3rd @ Howard),San Francisco,31.0,121
Early Afternoon,Friday,Market at 10th,San Francisco,28.7,121
Mid Day,Monday,Powell at Post (Union Square),San Francisco,50.9,120
Mid Day,Saturday,Townsend at 7th,San Francisco,40.9,120
Early Afternoon,Monday,Grant Avenue at Columbus Avenue,San Francisco,35.2,119
Afternoon,Saturday,Powell at Post (Union Square),San Francisco,25.7,119
Mid Morning,Sunday,Powell at Post (Union Square),San Francisco,67.6,118
Mid Day,Friday,San Francisco Caltrain (Townsend at 4th),San Francisco,25.1,118
Early Afternoon,Friday,Mechanics Plaza (Market at Battery),San Francisco,22.1,117
Mid Day,Friday,Embarcadero at Folsom,San Francisco,45.6,116
Mid Day,Friday,Powell at Post (Union Square),San Francisco,51.5,116
Early Afternoon,Saturday,South Van Ness at Market,San Francisco,28.4,116
Mid Day,Sunday,Beale at Market,San Francisco,80.5,114
Early Afternoon,Tuesday,2nd at Townsend,San Francisco,18.9,114
Mid Morning,Wednesday,Harry Bridges Plaza (Ferry Building),San Francisco,59.3,114
Mid Day,Thursday,Powell at Post (Union Square),San Francisco,44.6,114
Mid Day,Saturday,5th at Howard,San Francisco,70.0,114
Early Afternoon,Friday,Grant Avenue at Columbus Avenue,San Francisco,35.7,112
Mid Morning,Saturday,Embarcadero at Sansome,San Francisco,44.0,112
Mid Day,Saturday,San Francisco City Hall,San Francisco,61.1,112
Mid Morning,Monday,Harry Bridges Plaza (Ferry Building),San Francisco,49.2,111
Early Afternoon,Monday,Steuart at Market,San Francisco,43.0,111
Afternoon,Wednesday,Steuart at Market,San Francisco,24.0,111
Afternoon,Friday,Steuart at Market,San Francisco,29.7,111
Mid Day,Saturday,San Francisco Caltrain 2 (330 Townsend),San Francisco,42.4,111
Early Afternoon,Sunday,Embarcadero at Folsom,San Francisco,44.0,108
Mid Morning,Sunday,Embarcadero at Sansome,San Francisco,40.8,108
Mid Day,Monday,Embarcadero at Vallejo,San Francisco,62.6,108
Afternoon,Friday,Embarcadero at Vallejo,San Francisco,39.9,108
Early Afternoon,Friday,Powell at Post (Union Square),San Francisco,46.6,108
Mid Day,Sunday,South Van Ness at Market,San Francisco,50.6,107
Early Afternoon,Monday,Market at Sansome,San Francisco,38.1,107
Early Afternoon,Wednesday,Steuart at Market,San Francisco,109.4,107
Early Afternoon,Thursday,Grant Avenue at Columbus Avenue,San Francisco,50.0,107
Early Afternoon,Saturday,Civic Center BART (7th at Market),San Francisco,29.5,107
Afternoon,Sunday,Grant Avenue at Columbus Avenue,San Francisco,58.5,106
Afternoon,Sunday,Embarcadero at Bryant,San Francisco,28.2,106
Afternoon,Monday,Market at Sansome,San Francisco,26.5,106
Early Afternoon,Thursday,Yerba Buena Center of the Arts (3rd @ Howard),San Francisco,36.0,106
Early Afternoon,Friday,San Francisco Caltrain (Townsend at 4th),San Francisco,37.0,106
Evening,Friday,Harry Bridges Plaza (Ferry Building),San Francisco,30.3,106
Mid Day,Monday,Embarcadero at Bryant,San Francisco,28.4,105
Mid Day,Wednesday,Market at Sansome,San Francisco,80.0,105
Mid Day,Friday,Civic Center BART (7th at Market),San Francisco,68.2,105
Afternoon,Friday,Market at Sansome,San Francisco,20.4,105
Evening,Monday,Embarcadero at Sansome,San Francisco,30.2,104
Afternoon,Wednesday,Market at 4th,San Francisco,38.6,104
Mid Day,Saturday,Washington at Kearny,San Francisco,65.7,104
Mid Day,Sunday,5th at Howard,San Francisco,44.5,103
Morning,Monday,San Francisco Caltrain (Townsend at 4th),San Francisco,14.8,103
Mid Day,Tuesday,Market at 10th,San Francisco,52.7,103
Morning,Wednesday,Harry Bridges Plaza (Ferry Building),San Francisco,25.4,103
Afternoon,Wednesday,Powell Street BART,San Francisco,23.7,103
Early Afternoon,Friday,Embarcadero at Folsom,San Francisco,24.4,103
Afternoon,Friday,Grant Avenue at Columbus Avenue,San Francisco,28.5,103
Early Afternoon,Friday,Embarcadero at Bryant,San Francisco,28.2,103
Early Afternoon,Saturday,5th at Howard,San Francisco,38.3,103
Early Afternoon,Monday,2nd at Townsend,San Francisco,29.5,102
Early Afternoon,Monday,Mechanics Plaza (Market at Battery),San Francisco,59.1,102
Mid Day,Thursday,Steuart at Market,San Francisco,61.8,102
Mid Day,Friday,Embarcadero at Bryant,San Francisco,39.0,102
Early Afternoon,Saturday,Clay at Battery,San Francisco,32.5,102
Afternoon,Saturday,Market at Sansome,San Francisco,25.6,102
Afternoon,Sunday,Steuart at Market,San Francisco,44.5,101
Mid Day,Monday,Market at 10th,San Francisco,37.5,101
Afternoon,Thursday,Steuart at Market,San Francisco,23.7,101
Early Afternoon,Friday,Beale at Market,San Francisco,45.7,101
Mid Day,Saturday,Embarcadero at Folsom,San Francisco,37.7,101
Early Afternoon,Monday,Market at 10th,San Francisco,24.4,100
Early Afternoon,Tuesday,Powell Street BART,San Francisco,42.0,100
Evening,Saturday,2nd at Townsend,San Francisco,33.3,100
Afternoon,Monday,Steuart at Market,San Francisco,17.4,99
Mid Day,Monday,Yerba Buena Center of the Arts (3rd @ Howard),San Francisco,28.2,99
Afternoon,Monday,Embarcadero at Vallejo,San Francisco,35.1,99
Mid Day,Tuesday,Embarcadero at Vallejo,San Francisco,47.9,99
Morning,Tuesday,San Francisco Caltrain 2 (330 Townsend),San Francisco,25.4,99
Early Afternoon,Wednesday,Powell Street BART,San Francisco,49.1,99
Early Afternoon,Thursday,Market at 10th,San Francisco,27.4,99
Early Afternoon,Friday,Townsend at 7th,San Francisco,16.7,99
Early Afternoon,Sunday,5th at Howard,San Francisco,49.3,98
Afternoon,Sunday,Powell at Post (Union Square),San Francisco,27.3,98
Afternoon,Monday,San Francisco Caltrain (Townsend at 4th),San Francisco,42.4,98
Afternoon,Tuesday,Powell at Post (Union Square),San Francisco,21.4,98
Afternoon,Wednesday,Embarcadero at Bryant,San Francisco,19.2,98
Mid Day,Wednesday,Powell at Post (Union Square),San Francisco,58.5,98
Mid Morning,Friday,Powell Street BART,San Francisco,56.7,98
Afternoon,Saturday,Embarcadero at Folsom,San Francisco,32.9,98
Mid Day,Sunday,Clay at Battery,San Francisco,27.1,97
Mid Day,Monday,Market at Sansome,San Francisco,47.2,97
Afternoon,Thursday,Embarcadero at Vallejo,San Francisco,17.9,97
Afternoon,Saturday,Yerba Buena Center of the Arts (3rd @ Howard),San Francisco,26.1,97
Early Afternoon,Saturday,2nd at Folsom,San Francisco,49.4,97
Afternoon,Monday,Powell Street BART,San Francisco,53.6,96
Afternoon,Wednesday,Embarcadero at Vallejo,San Francisco,47.1,96
Early Afternoon,Friday,Yerba Buena Center of the Arts (3rd @ Howard),San Francisco,54.5,96
Mid Day,Tuesday,2nd at Townsend,San Francisco,24.8,95
Afternoon,Wednesday,Market at Sansome,San Francisco,26.1,95
Early Afternoon,Wednesday,Powell at Post (Union Square),San Francisco,26.3,95
Early Afternoon,Thursday,Mechanics Plaza (Market at Battery),San Francisco,27.8,95
Mid Morning,Friday,Embarcadero at Sansome,San Francisco,42.1,95
Mid Day,Saturday,Spear at Folsom,San Francisco,55.9,95
Mid Day,Sunday,San Francisco Caltrain 2 (330 Townsend),San Francisco,30.4,94
Early Afternoon,Sunday,Washington at Kearny,San Francisco,52.2,94
Early Afternoon,Tuesday,Steuart at Market,San Francisco,27.6,94
Mid Day,Tuesday,Embarcadero at Bryant,San Francisco,37.7,94
Morning,Tuesday,Harry Bridges Plaza (Ferry Building),San Francisco,23.6,94
Early Afternoon,Tuesday,Market at Sansome,San Francisco,40.9,93
Early Afternoon,Wednesday,Yerba Buena Center of the Arts (3rd @ Howard),San Francisco,29.1,93
Afternoon,Thursday,Market at Sansome,San Francisco,23.8,93
Morning,Thursday,Harry Bridges Plaza (Ferry Building),San Francisco,24.2,93
Early Afternoon,Friday,Spear at Folsom,San Francisco,37.2,93
Morning,Friday,Harry Bridges Plaza (Ferry Building),San Francisco,34.8,93
Early Afternoon,Saturday,Townsend at 7th,San Francisco,26.7,93
Early Afternoon,Sunday,Beale at Market,San Francisco,43.9,92
Mid Day,Sunday,2nd at South Park,San Francisco,39.8,92
Afternoon,Tuesday,Townsend at 7th,San Francisco,15.2,92
Afternoon,Tuesday,Market at Sansome,San Francisco,18.8,92
Early Afternoon,Friday,Clay at Battery,San Francisco,37.3,92
Early Afternoon,Saturday,Broadway St at Battery St,San Francisco,47.7,92
Mid Morning,Tuesday,Harry Bridges Plaza (Ferry Building),San Francisco,38.3,91
Mid Morning,Thursday,Harry Bridges Plaza (Ferry Building),San Francisco,60.4,91
Afternoon,Friday,Powell Street BART,San Francisco,30.9,91
Mid Day,Monday,2nd at Townsend,San Francisco,30.4,90
Mid Day,Wednesday,Steuart at Market,San Francisco,22.1,90
Afternoon,Wednesday,Yerba Buena Center of the Arts (3rd @ Howard),San Francisco,23.7,90
Mid Morning,Saturday,Market at Sansome,San Francisco,60.4,90
Early Afternoon,Sunday,Davis at Jackson,San Francisco,60.2,89
Mid Day,Tuesday,Steuart at Market,San Francisco,35.3,89
Morning,Tuesday,Powell at Post (Union Square),San Francisco,12.4,89
Afternoon,Tuesday,Steuart at Market,San Francisco,17.1,89
Early Afternoon,Tuesday,Powell at Post (Union Square),San Francisco,28.4,89
Early Afternoon,Friday,2nd at South Park,San Francisco,50.3,89
Afternoon,Saturday,Market at 10th,San Francisco,29.2,89
Mid Day,Saturday,2nd at South Park,San Francisco,39.9,89
Mid Morning,Sunday,Market at Sansome,San Francisco,67.0,88
Morning,Sunday,Powell at Post (Union Square),San Francisco,68.4,88
Mid Day,Tuesday,Market at Sansome,San Francisco,59.8,88
Afternoon,Tuesday,Yerba Buena Center of the Arts (3rd @ Howard),San Francisco,21.6,88
Early Afternoon,Wednesday,Market at 10th,San Francisco,25.3,88
Mid Day,Friday,Yerba Buena Center of the Arts (3rd @ Howard),San Francisco,40.5,88
Early Afternoon,Sunday,Mechanics Plaza (Market at Battery),San Francisco,67.4,87
Afternoon,Monday,Powell at Post (Union Square),San Francisco,17.3,87
Early Afternoon,Tuesday,Market at 10th,San Francisco,32.6,87
Morning,Wednesday,Powell at Post (Union Square),San Francisco,35.4,87
Evening,Thursday,Embarcadero at Sansome,San Francisco,20.2,87
Afternoon,Wednesday,2nd at Townsend,San Francisco,35.0,86
Mid Morning,Wednesday,Powell Street BART,San Francisco,95.8,86
Afternoon,Thursday,Townsend at 7th,San Francisco,13.4,86
Early Afternoon,Thursday,Townsend at 7th,San Francisco,16.5,86
Mid Morning,Thursday,San Francisco Caltrain (Townsend at 4th),San Francisco,33.1,86
Afternoon,Friday,Embarcadero at Bryant,San Francisco,54.9,86
Afternoon,Friday,2nd at Townsend,San Francisco,60.5,86
Evening,Saturday,Market at 4th,San Francisco,71.9,86
Mid Day,Saturday,Golden Gate at Polk,San Francisco,60.6,86
Mid Day,Monday,Steuart at Market,San Francisco,33.6,85
Mid Day,Wednesday,Market at 10th,San Francisco,46.3,85
Mid Day,Wednesday,2nd at Townsend,San Francisco,38.2,85
Early Afternoon,Wednesday,Embarcadero at Bryant,San Francisco,44.3,85
Evening,Wednesday,Embarcadero at Sansome,San Francisco,22.6,85
Early Afternoon,Wednesday,Market at Sansome,San Francisco,67.5,85
Mid Day,Thursday,San Francisco Caltrain (Townsend at 4th),San Francisco,24.0,85
Early Afternoon,Thursday,2nd at South Park,San Francisco,30.7,85
Evening,Saturday,Harry Bridges Plaza (Ferry Building),San Francisco,19.3,85
Afternoon,Sunday,2nd at Townsend,San Francisco,28.5,84
Mid Day,Sunday,Townsend at 7th,San Francisco,30.6,84
Afternoon,Tuesday,Embarcadero at Vallejo,San Francisco,24.7,84
Afternoon,Wednesday,Townsend at 7th,San Francisco,13.7,84
Afternoon,Thursday,Powell at Post (Union Square),San Francisco,22.9,84
Mid Day,Thursday,Grant Avenue at Columbus Avenue,San Francisco,46.3,84
Mid Morning,Friday,Powell at Post (Union Square),San Francisco,57.4,84
Mid Morning,Monday,Powell Street BART,San Francisco,71.6,83
Early Afternoon,Monday,Embarcadero at Bryant,San Francisco,32.8,83
Afternoon,Tuesday,Market at 10th,San Francisco,28.5,83
Early Afternoon,Wednesday,Mechanics Plaza (Market at Battery),San Francisco,28.4,83
Early Afternoon,Thursday,Embarcadero at Bryant,San Francisco,28.0,83
Mid Day,Friday,Mechanics Plaza (Market at Battery),San Francisco,50.3,83
Mid Day,Friday,San Francisco Caltrain 2 (330 Townsend),San Francisco,27.2,83
Early Afternoon,Saturday,San Francisco City Hall,San Francisco,24.6,83
Afternoon,Tuesday,2nd at Townsend,San Francisco,30.0,82
Morning,Wednesday,San Francisco Caltrain 2 (330 Townsend),San Francisco,29.0,82
Afternoon,Thursday,Embarcadero at Bryant,San Francisco,30.2,82
Afternoon,Thursday,2nd at Townsend,San Francisco,32.7,82
Mid Morning,Thursday,Embarcadero at Sansome,San Francisco,44.8,82
Mid Day,Friday,Washington at Kearny,San Francisco,53.7,82
Early Afternoon,Sunday,Clay at Battery,San Francisco,50.2,81
Morning,Thursday,San Francisco Caltrain 2 (330 Townsend),San Francisco,12.6,81
Mid Day,Thursday,Mechanics Plaza (Market at Battery),San Francisco,32.0,81
Mid Day,Friday,2nd at South Park,San Francisco,27.5,81
Mid Day,Friday,5th at Howard,San Francisco,97.3,81
Early Afternoon,Friday,Howard at 2nd,San Francisco,25.4,81
Afternoon,Saturday,Civic Center BART (7th at Market),San Francisco,61.5,81
Early Afternoon,Saturday,Davis at Jackson,San Francisco,35.6,81
Mid Morning,Monday,Market at 4th,San Francisco,106.5,80
Mid Morning,Wednesday,San Francisco Caltrain (Townsend at 4th),San Francisco,48.5,80
Early Afternoon,Wednesday,Grant Avenue at Columbus Avenue,San Francisco,71.8,80
Afternoon,Sunday,Embarcadero at Folsom,San Francisco,19.0,79
Afternoon,Monday,Yerba Buena Center of the Arts (3rd @ Howard),San Francisco,23.0,79
Mid Day,Friday,Beale at Market,San Francisco,67.2,79
Early Afternoon,Friday,Civic Center BART (7th at Market),San Francisco,28.3,79
Mid Morning,Sunday,Steuart at Market,San Francisco,62.6,78
Afternoon,Sunday,Yerba Buena Center of the Arts (3rd @ Howard),San Francisco,16.2,78
Early Afternoon,Tuesday,Yerba Buena Center of the Arts (3rd @ Howard),San Francisco,26.6,78
Mid Morning,Wednesday,Market at 4th,San Francisco,68.7,78
Early Afternoon,Thursday,5th at Howard,San Francisco,22.9,78
Morning,Thursday,Powell at Post (Union Square),San Francisco,33.5,78
Early Afternoon,Thursday,San Francisco Caltrain (Townsend at 4th),San Francisco,22.4,78
Mid Day,Sunday,Howard at 2nd,San Francisco,106.7,77
